"sitdate","sector","vjs_3m_w","n_w","vjs_rate"
2009-06-01,"Private",196118.260514717,21089546.6513658,0.00929931134873477
2009-06-01,"Public",43240.8847728167,7329231.67263661,0.00589978413893708
2009-09-01,"Private",199700.571467597,20855672.7900751,0.00957535983028231
2009-09-01,"Public",57494.6582252764,7298767.04136845,0.00787731104437287
2009-12-01,"Private",167747.520340178,20946733.3545086,0.00800829024273952
2009-12-01,"Public",50763.191697005,7346896.08204223,0.00690947457676497
2010-03-01,"Private",212970.617788254,20859942.2444942,0.010209549733747
2010-03-01,"Public",53593.365408496,7395893.75266609,0.00724636767384287
2010-06-01,"Private",189613.764939596,20539687.2998249,0.00923157992484198
2010-06-01,"Public",43805.9139019254,7407463.36939567,0.0059137536991289
2010-09-01,"Private",201798.415503801,20629855.2532242,0.00978186288884711
2010-09-01,"Public",54566.3052241323,7500049.04440079,0.0072754597871422
2010-12-01,"Private",240711.447273012,20950610.5732667,0.0114894716997013
2010-12-01,"Public",66722.1874089463,7482195.03240348,0.0089174616700032
2011-03-01,"Private",NA,20846491.5894531,NA
2011-03-01,"Public",NA,7449051.59527022,NA
2011-06-01,"Private",145278.057958355,20837527.7381179,0.00697194311072704
2011-06-01,"Public",48880.7851883832,7414552.95310155,0.00659254650921822
2011-09-01,"Private",231833.576125655,21200261.0839862,0.0109354113709841
2011-09-01,"Public",61742.864198178,7119754.12874793,0.00867205005702016
2011-12-01,"Private",244514.865949177,21395275.1848773,0.0114284515546688
2011-12-01,"Public",71316.1676027224,6994724.84491898,0.0101957073628889
2012-03-01,"Private",156167.481873838,21371500.1989303,0.00730727746860069
2012-03-01,"Public",38535.4248911617,7014800.04151884,0.0054934459518561
2012-06-01,"Private",178657.525386077,21318503.8825052,0.00838039697207318
2012-06-01,"Public",46701.4902400409,6962662.63770256,0.00670741822060343
2012-09-01,"Private",201958.343339492,21581233.1890722,0.0093580538966492
2012-09-01,"Public",67497.8686004894,6827137.962893,0.00988670054235834
2012-12-01,"Private",205405.792347731,21702919.0463636,0.00946443157756458
2012-12-01,"Public",56190.4678613892,6967099.99716189,0.0080651157417403
2013-03-01,"Private",0,21680610.0560269,NA
2013-03-01,"Public",0,7074398.91994212,NA
2013-09-01,"Private",207338.738119716,21678991.5320084,0.00956403981308756
2013-09-01,"Public",68737.3989912056,6908312.96619469,0.00994995439951358
2013-12-01,"Private",235694.404669471,21882354.2128038,0.0107709802326279
2013-12-01,"Public",66991.2018083053,6992881.15433374,0.0095799142484766
2014-03-01,"Private",161778.256947582,22200448.2877623,0.00728716172081805
2014-03-01,"Public",47547.8897489463,6850121.47276815,0.00694117468397712
2014-06-01,"Private",185782.719844798,22129372.7366235,0.00839529986032242
2014-06-01,"Public",51989.9735297846,6980250.18982509,0.0074481533062481
2014-09-01,"Private",232208.757737332,22318238.8315456,0.0104044391445941
2014-09-01,"Public",65700.8530879295,6999354.07785029,0.009386702309552
2014-12-01,"Private",269180.440137853,22708357.5335545,0.011853804914781
2014-12-01,"Public",35631.0382882547,6922236.89168488,0.00514733009658415
2015-03-01,"Private",218835.548780209,22729850.4565244,0.00962767217491282
2015-03-01,"Public",46617.8685085497,6945769.04662416,0.00671169285872056
2015-06-01,"Private",221878.725084993,22777021.7637106,0.00974134052233733
2015-06-01,"Public",64846.3804324931,6924477.82995436,0.00936480439752098
2015-09-01,"Private",229298.045783788,22845210.5543902,0.0100370292161621
2015-09-01,"Public",76035.0878705635,6852857.08586817,0.0110953850223087
2015-12-01,"Private",250371.163033205,23169816.9873231,0.0108059188887936
2015-12-01,"Public",41253.9557779367,6902951.67938197,0.00597627764093377
2016-03-01,"Private",200057.117419997,23262751.6570047,0.00859989051896007
2016-03-01,"Public",60949.7344708815,6989724.64525462,0.008719904941071
2016-06-01,"Private",203551.473605372,23166860.4602548,0.00878632104486435
2016-06-01,"Public",65432.5060970381,6978279.30199913,0.00937659604399799
2016-09-01,"Private",229657.49267106,23257463.3374907,0.00987457184553982
2016-09-01,"Public",56940.6306862034,7090630.04307504,0.00803040496264695
2016-12-01,"Private",265344.960814886,23618675.7883142,0.011234540123802
