text,paragraph_id,question,person,keywords,sentiment
"Welcome to the Public Accounts Committee on Monday 22 January 2024. Today, we are looking at the defence equipment plan, which is something that the Ministry of Defence publishes every year. It sets out the spending and the capability requirements of the Ministry of Defence over the next decade that our Armed Forces need to operate. This latest plan is £16.9 billion over budget over that 10-year period. That is the largest deficit since the MoD first published the plan. It is a big difference from last year's plan, with costs having risen by nearly £66 billion.",1,Q1,Chair,"Public Accounts Committee meeting, defence equipment plan, Ministry of Defence, spending, capability requirements, Armed Forces, budget, deficit, MoD, plan, costs",I would rate the sentiment expressed in the paragraph as a 4.
"For a lot of us, it feels a bit like groundhog day as we come back and look at this challenge every year. It is quite right that we look at it over a 10-year period, but it is, nevertheless, a somewhat depressing picture. Some of the reasons for that, which we will go into, are around inflation and other costs, but we need to get to the bottom of what is happening and how the Ministry of Defence will work to bridge that gap.",2,Q1,Chair,"- Groundhog day feeling
- Annual challenge
- 10-year period
- Depressing picture
- Inflation and other costs
- Reasons for the depressing picture
- Getting to the bottom of what is happening
- Ministry of Defence's efforts to bridge the gap",I would rate the sentiment expressed in the paragraph as a 3.
"I am delighted to welcome our witnesses. We have David Williams, Permanent Secretary at the Ministry of Defence; Tom Wipperman, director of strategic finance and investment approvals at the Ministry of Defence; Andy Start, chief executive of defence equipment and support, often referred to as DE&S; and Lieutenant General Robert Magowan, Deputy Chief of the Defence Staff, who is responsible for financial and military capability. A very warm welcome to you all.",3,Q1,Chair,"witnesses, introductions",I would rate the sentiment expressed in the paragraph as an 8.
"Before we go into our main session, we have just a couple of quick questions about other matters that might affect defence.",4,Q1,Chair,"main session, quick questions, other matters, affect defence",I would rate the sentiment expressed in the paragraph as a neutral 5.
"Good afternoon, everyone. Mr Williams, I am going to ask a question about the Port Talbot steel closures and what assessment you have made of the possible impact that this will have on defence manufacturing going forward.",5,Q2,Sarah Owen,"Port Talbot steel closures, assessment of impact on defence manufacturing.","I would rate the sentiment expressed in the paragraph as a 8 on the scale. The tone is professional and polite, indicating a neutral to slightly positive sentiment."
"I have not yet reviewed any impact from the recent announcement. We do, however, take the security and sustainability of our supply chain seriously, including access to raw materials. As the Committee knows, the Department intervened just over a year ago to support Sheffield Forgemasters, so it is an area in which we are interested. To the extent that there are wider Government conversations on a response to the announcement, I would expect the Ministry of Defence to be engaged as an interested party, but I have not been involved in that.",6,Q2,David Williams,"1. Impact review
2. Security and sustainability of supply chain
3. Access to raw materials
4. Department intervention to support Sheffield Forgemasters
5. Government conversations on response to announcement
6. Ministry of Defence engagement",I would rate the sentiment expressed in the paragraph a 5.
Are there any projects or specific programmes that are likely to be affected? What will happen with the shortfall of materials that is going to be needed? What are the possible options available to us with the closure of Port Talbot steelworks?,7,Q3,Sarah Owen,"projects/programmes affected, shortfall of materials, options with closure of Port Talbot steelworks","The sentiment expressed in the paragraph is neutral, as it consists of inquiries and does not express a clear positive or negative opinion. Therefore, it would be rated as a 5 on the sentiment scale."
"Mr Start may want to come in on this. The supply of steel is, in the first instance, a matter for our prime contractors who are producing equipment for us. I have not had any specific impacts from the Tata announcement flagged to me yet, but I am happy to take that away and write to the Committee, if that would be helpful.",8,Q3,David Williams,"- Inquiry about Mr. Start's input
- Supply of steel
- Role of prime contractors
- Potential impacts of the Tata announcement
- Willingness to write to the Committee","I would rate the sentiment as a 7.5. The overall tone is neutral, with a slight leaning towards the positive. The speaker seems open to addressing any potential concerns and shows willingness to take action, but does not express any significant excitement or positivity."
"That would be great. Tata Steel UK currently provides high-tech steel to UK defence for engine and gearbox components on fixed-wing and rotary aircraft, and for hatch covers on armoured personnel carriers and nuclear submarines, so it would be great if we could get the specifics on those.",9,Q4,Sarah Owen,"- Tata Steel UK 
- High-tech steel 
- UK defence 
- Engine and gearbox components 
- Fixed-wing and rotary aircraft 
- Hatch covers 
- Armoured personnel carriers 
- Nuclear submarines 
- Specifics",I would rate the sentiment expressed in the paragraph as a 7.
I am happy to follow up on that.,10,Q4,David Williams,following up,"I would rate the sentiment expressed in the paragraph as a 8.5. The use of the word ""happy"" indicates a positive sentiment, but it is not overly enthusiastic or emphatic, which is why it is not rated as a 10."
"Good afternoon. That is a smart tie, Mr Start. Mr Williams, on Saturday, Larisa Brown, the excellent defence editor of The Times, had a front-page splash entitled, ""Army numbers to drop below 70,000 'in two years'"". This is germane to an examination of the equipment plan, because, as you well know, unless you have suitably qualified and experienced personnel---SQEP, as the military calls them---to maintain your kit and keep it working, you can spend all the money that you want on very expensive equipment, and some of it in this plan is incredibly expensive, but, if you cannot maintain it, it is no good to anybody. It could be a ship left on the harbour wall, a tank in the tank park, or an aircraft that is a hangar queen. What are you doing to stop the absolute haemorrhaging of people leaving the Armed Forces?",11,Q5,Mr Francois,"- Mr Start's smart tie
- Larisa Brown's front-page splash
- ""Army numbers to drop below 70,000 'in two years'""
- Examination of the equipment plan
- Suitably qualified and experienced personnel (SQEP)
- Maintenance of expensive equipment
- Ship left on the harbour wall
- Tank in the tank park
- Aircraft that is a hangar queen
- Preventing people from leaving the Armed Forces",I would rate the sentiment expressed in this paragraph as a 6.
"The projection in that article is one from recent trends rather than our plan. It is an issue that all three services and the Department are taking seriously. Our approach is a combination of a range of short-term measures to increase attraction and retention. Some of that involves proposals around financial incentives, for example, as well as longer-term initiatives, including recommendations from the Haythornthwaite review from last summer about how we think about patterns of service and zigzag careers, and make sure that we are accessing the skills that we need.",12,Q5,David Williams,"- Projection in article
- Recent trends
- Plan
- Issue
- Three services 
- Department
- Short-term measures to increase attraction and retention
- Financial incentives
- Longer-term initiatives
- Haythornthwaite review
- Patterns of service
- Zigzag careers
- Skills needed",I would rate the sentiment expressed in the paragraph a 6.5.
"When you say ""zigzag careers"", do you mean people coming in and out?",13,Q6,Chair,"zigzag careers, people coming in and out",I would rate the sentiment expressed in the paragraph as a 5.
"People coming in and out of service, yes.",14,Q6,David Williams,People coming in and out of service,"Without any additional context or content to base the sentiment on, it is difficult to accurately rate it on the scale. This sentence seems neutral and does not convey a specific sentiment. As a result, it can be rated around 5, indicating a neutral sentiment."
"Mr Williams, I am sorry to cut across you, but, as you are well aware, there is never enough time in these sessions, so apologies for keeping this tightly focused. At the moment, across all three services, people are leaving the Armed Forces at a ratio of three people leaving for every one who joins. I deliberately use the analogy of the National Health Service, where my wife works, but that is the equivalent of the patient bleeding out on the operating table. You cannot maintain that for long. If you do, you will have operational failure, because you will not have enough skilled personnel to make it work. What you have said is all very well, but I and the Committee detect no sense of urgency. They are leaving at a rate that you cannot sustain. What are you doing to stop the bleed?",15,Q7,Mr Francois,"- Apologies for time constraints
- Ratio of people leaving and joining the Armed Forces
- Analogy to National Health Service
- Consequences of high attrition rate
- Lack of sense of urgency
- Actions to address the issue","I would rate the sentiment expressed in the paragraph as a 7. Although it highlights a concerning issue and expresses a sense of urgency, it also acknowledges the limitations of time and shows a willingness to find solutions."
I do not immediately recognise the one-to-three ratio.,16,Q7,David Williams,one-to-three ratio recognition,3
"That came directly from the fifth floor, privately.",17,Q8,Mr Francois,"source of information, location, privacy",5
On our most recent published statistics---and I accept that those are from the---,18,Q8,David Williams,"statistical analysis, recent data, acceptance, publication process","Without the complete sentence, it is difficult to accurately rate the sentiment expressed in the paragraph. Please provide the full sentence for a more accurate assessment."
General Magowan is busily looking through his paperwork. We will come to you in a moment.,19,Q8,Chair,"General Magowan's paperwork, Coming to someone.",I would rate the sentiment in the paragraph as a 6. The tone is neutral and does not convey any particularly positive or negative emotions.
"You are right that outflow is higher than inflow. On any numbers, that is the situation. I can assure the Committee that it is being taken very seriously. There is lots of ministerial interest in how the services are addressing this issue. It is probably the number one risk that we are routinely engaging with in senior management fora in the Department. There is a set of individual initiatives that each service is taking, as well as us, in thinking through those broader pay, attraction and retention measures.",20,Q8,David Williams,"outflow, inflow, situation, Committee assurance, ministerial interest, services addressing, number one risk, senior management fora, Department, individual initiatives, broader pay, attraction and retention measures.",I would rate the sentiment expressed in the paragraph a 7.
