Heading.Index,Level.Index,Content.Index,Heading,Level,Content
1,1,1,Sustaining and developing OR professionals and professionalism,Grade 5,"Ensures GORS approved, government wide standards for professional OR staff (recruitment, professional development and promotion) are maintained and applied with the Department."
1,1,2,Sustaining and developing OR professionals and professionalism,Grade 5,Ensure active contribution to the Government Operational Research Service (GORS) and Departmental commitment on continuing professional development for OR analysts.
1,1,3,Sustaining and developing OR professionals and professionalism,Grade 5,"Leads on the OR capability within the Department through setting the overall direction, identifying future needs, and embracing future advancements seen in OR outside government and in other Government Departments. Works to facilitate, promote, and mainstream GORS professional activities, ensuring OR is recognised within the Department as most current standard of analysis."
1,1,4,Sustaining and developing OR professionals and professionalism,Grade 5,"Pushes for the latest appropriate technologies, to enable useful new analytical techniques."
1,1,5,Sustaining and developing OR professionals and professionalism,Grade 5,"Ensures that appropriate quality and product assurance processes are in place and are monitored, consulting with stakeholders and external experts when required."
1,2,1,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Supports GORS recruitment, induction of high quality OR professionals in the GORS community. Supports progressive professional development, including time to explore the newest techniques and technologies."
1,2,2,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Sets direction for OR professionals across the business area, supports the Dept. OR community and proactively contributes to wider GORS business goals."
1,2,3,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Instils professionalism and integrity in all aspects of analytical work, delivers GORS best practice ensuring that work is appropriately quality assured."
1,2,4,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Promotes OR group's reputation for professionalism, good service, and most advanced analysis; suggests areas where OR can make a contribution."
1,2,5,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Appropriately selects and oversees the work of external OR staff (consultants, academics)."
1,1,6,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Develops and agrees quality and product assurance requirements with customers and analysts at the start of analytical projects, building in sufficient time for delivery."
1,1,7,Sustaining and developing OR professionals and professionalism,Grade 6 and 7,"Manages quality and product assurance issues, escalating to stakeholders and external experts as appropriate."
1,3,1,Sustaining and developing OR professionals and professionalism,GORS level 3 - SEO equivalent,Supports the direction for OR professionals across the business area and supports the Departmental OR community.
1,3,2,Sustaining and developing OR professionals and professionalism,GORS level 3 - SEO equivalent,Contributes to wider GORS activities and extends professional networks across the analytical professions and broader department
1,3,3,Sustaining and developing OR professionals and professionalism,GORS level 3 - SEO equivalent,"Promotes professionalism and exemplifies best practice in the performing and communication of analytical work. Ensures that projects are managed well, and fully documented."
1,3,4,Sustaining and developing OR professionals and professionalism,GORS level 3 - SEO equivalent,"Allocates time for and makes sure that appropriate quality assurance is carried out and engages with customers so that they understand the level off assurance provided, and limitations and caveats of the analysis."
